"Customer_Name","Promo_Transactions","Total_Transactions","Promo_Response_Rate"
Hannah Moore,8,8,100.0
Joseph Pace,5,5,100.0
Tammy Craig,5,5,100.0
Stephanie Cross,6,6,100.0
Jeremy Pearson,5,5,100.0
Nicole Sutton,5,5,100.0
Kevin Powers,5,5,100.0
Kerry Garcia,5,5,100.0
Edwin Rodriguez,5,5,100.0
Michael Colon,9,9,100.0
Jamie Austin,5,5,100.0
Michael Yu,6,6,100.0
Wendy Gonzalez,5,5,100.0
Kimberly Warner,5,5,100.0
Amanda Charles,5,5,100.0
Karen Hawkins,7,7,100.0
Andrew Mclaughlin,5,5,100.0
John Benton,6,6,100.0
Sheila Ward,5,5,100.0
Amy Wolfe,5,5,100.0
Erica Jenkins,8,8,100.0
Krystal Hernandez,6,6,100.0
Mark Hopkins,5,5,100.0
Todd Russell,6,6,100.0
Craig Allen,5,5,100.0
Patrick Carr,5,5,100.0
Jeremy Cox,8,8,100.0
Howard King,5,5,100.0
Oscar Miller,6,6,100.0
Mark Rose,6,6,100.0
Nicholas Daniels,5,5,100.0
Nicholas Hamilton,7,7,100.0
Tony Clark,5,5,100.0
Billy Clark,5,5,100.0
Emily Erickson,5,5,100.0
Paul Mendoza,5,5,100.0
Andrew Holt,5,5,100.0
Kenneth Neal,6,6,100.0
Michelle Drake,6,6,100.0
Aaron Banks,8,8,100.0
Julia Green,10,10,100.0
Kathy Mitchell,6,6,100.0
Elizabeth Howell,5,5,100.0
Eric Rice,10,10,100.0
Jordan Hart,5,5,100.0
Dana Barnes,5,5,100.0
Heather Calderon,7,7,100.0
Marc Green,6,6,100.0
Andrew Chen,8,8,100.0
Dawn Edwards,6,6,100.0
Teresa Choi,5,5,100.0
Meredith Williams,6,6,100.0
Morgan Coleman,6,6,100.0
Bryan Chen,5,5,100.0
James Randolph,5,5,100.0
Donna Myers,5,5,100.0
William Blanchard,5,5,100.0
Tracy Colon,5,5,100.0
Scott Lynch,5,5,100.0
Dan Johnson,5,5,100.0
Mark Lawson,6,6,100.0
Henry White,7,7,100.0
Renee Martin,5,5,100.0
Allison Boone,6,6,100.0
Faith Johnson,5,5,100.0
Susan Dixon,8,8,100.0
Allison Bell,5,5,100.0
Jonathan Patterson,9,9,100.0
Benjamin Edwards,6,6,100.0
Susan Benson,7,7,100.0
Megan Gordon,10,10,100.0
Catherine Simmons,5,5,100.0
Heather Bowman,5,5,100.0
Christina Berry,5,5,100.0
Rebecca Copeland,5,5,100.0
Janet Diaz,5,5,100.0
Jill Hill,6,6,100.0
Jon Wilson,6,6,100.0
Cynthia Tucker,6,6,100.0
Shannon Oconnell,5,5,100.0
Tammy Reid,5,5,100.0
Rebecca Alexander,7,7,100.0
Elizabeth Gamble,5,5,100.0
Alec Smith,5,5,100.0
Scott Mckinney,5,5,100.0
Darrell Garcia,5,5,100.0
Melissa Browning,5,5,100.0
Travis Hernandez,6,6,100.0
Joseph Hood,6,6,100.0
Kyle Shepherd,6,6,100.0
Maria Mcdaniel,5,5,100.0
Jennifer Mays,7,7,100.0
Robert Cervantes,9,9,100.0
Tina Henderson,5,5,100.0
Corey Peterson,5,5,100.0
Rebecca Vasquez,6,6,100.0
Jeffrey Terry,5,5,100.0
Melissa Vaughn,9,9,100.0
Anthony Weber,5,5,100.0
Michael Johns,5,5,100.0
Amanda Brady,7,7,100.0
Dillon Rodriguez,5,5,100.0
Victoria Mason,5,5,100.0
Mary Schmidt,8,8,100.0
Scott Marshall,6,6,100.0
Danny Collins,5,5,100.0
Rodney Tucker,5,5,100.0
Jacob Jimenez,9,9,100.0
Denise Silva,5,5,100.0
Lisa Marquez,6,6,100.0
Jesse Nguyen,5,5,100.0
Amanda Rivas,6,6,100.0
Jordan Holmes,6,6,100.0
Jose Wilson,12,12,100.0
Joseph Bean,5,5,100.0
Donna Olson,5,5,100.0
Tony Walker,7,7,100.0
Stephanie Warren,10,10,100.0
Lisa Li,5,5,100.0
Danielle Franco,5,5,100.0
Joseph Hopkins,5,5,100.0
Heidi Lane,5,5,100.0
Tammy Mann,5,5,100.0
Charles Landry,5,5,100.0
William Randall,6,6,100.0
Daniel Daniel,7,7,100.0
Colleen Anderson,6,6,100.0
Craig Wood,5,5,100.0
John Michael,9,9,100.0
Corey Robinson,6,6,100.0
John Sampson,6,6,100.0
Lisa Werner,5,5,100.0
Katie Griffin,6,6,100.0
Derrick Lopez,6,6,100.0
Richard Schwartz,5,5,100.0
Gregory Bass,6,6,100.0
Abigail Nelson,10,10,100.0
Nicholas Fischer,5,5,100.0
Kelly Ray,6,6,100.0
Julia Wright,5,5,100.0
April Nguyen,5,5,100.0
Angela Cain,5,5,100.0
Christopher Cooke,7,7,100.0
Matthew Franklin,6,6,100.0
Jeffery Pierce,6,6,100.0
Matthew Ritter,5,5,100.0
Susan Steele,6,6,100.0
Maria Lynch,6,6,100.0
John Lawson,5,5,100.0
Daniel Lam,5,5,100.0
Ronald Walker,11,11,100.0
Emily Hardy,7,7,100.0
Douglas Washington,5,5,100.0
Benjamin Armstrong,5,5,100.0
Sarah Gross,5,5,100.0
Katherine Maxwell,5,5,100.0
George Lopez,7,7,100.0
David Griffith,9,9,100.0
Tyler Ward,8,8,100.0
Michelle Hanson,8,8,100.0
Angel Lopez,7,7,100.0
Kathryn Gardner,5,5,100.0
Mary Chavez,10,10,100.0
Nicole Hogan,5,5,100.0
Olivia Evans,5,5,100.0
Amy Weaver,7,7,100.0
Amy Pittman,6,6,100.0
Becky Brown,5,5,100.0
Tammy Guzman,5,5,100.0
Marvin Smith,10,10,100.0
Bobby White,5,5,100.0
Brandi Scott,5,5,100.0
Nicole Barton,5,5,100.0
Angelica Jackson,5,5,100.0
Kimberly Shelton,5,5,100.0
Donna James,5,5,100.0
Lindsay Gonzalez,5,5,100.0
Joshua Parsons,6,6,100.0
Mark Rocha,5,5,100.0
Erin Collins,8,8,100.0
Samantha Robles,5,5,100.0
Ricardo Perez,5,5,100.0
Stacey Martinez,5,5,100.0
Anthony Miles,5,5,100.0
Michelle Franklin,9,9,100.0
Christine Hoffman,6,6,100.0
Angela Hunt,6,6,100.0
Amy Romero,5,5,100.0
Theresa Fernandez,6,6,100.0
Tammy Montgomery,5,5,100.0
Audrey Reynolds,5,5,100.0
Brittany Fernandez,6,6,100.0
Corey Taylor,5,5,100.0
Toni Williams,6,6,100.0
Sara Cooper,7,7,100.0
Anthony Roth,7,7,100.0
Patrick Simpson,5,5,100.0
Jennifer Casey,6,6,100.0
Nicholas Andrews,7,7,100.0
Todd Grant,6,6,100.0
Daniel Ayers,5,5,100.0
Danielle Paul,5,5,100.0
Patrick Cooper,7,7,100.0
Annette Harris,5,5,100.0
Joseph Bridges,7,7,100.0
Megan Myers,10,10,100.0
Patrick Henson,5,5,100.0
Aaron Todd,5,5,100.0
Erin Long,6,6,100.0
Cristian Miller,5,5,100.0
Amanda Thornton,7,7,100.0
Jacqueline Gonzales,5,5,100.0
Victor Ward,5,5,100.0
Joshua Cummings,5,5,100.0
Melissa Pena,5,5,100.0
Jamie Griffin,6,6,100.0
Cody Jacobs,5,5,100.0
Derrick Martin,5,5,100.0
Michelle Dixon,7,7,100.0
Jacob Butler,6,6,100.0
Brandon Kennedy,6,6,100.0
Jordan Nash,5,5,100.0
Debra Boyd,6,6,100.0
Tiffany Wood,8,8,100.0
Thomas Bishop,8,8,100.0
Nicole Wheeler,5,5,100.0
Louis Robinson,5,5,100.0
Roy Jackson,5,5,100.0
Nathan Larson,5,5,100.0
Sarah Randall,9,9,100.0
Taylor Stevenson,5,5,100.0
Abigail Taylor,6,6,100.0
Kathryn Scott,9,9,100.0
Sandra Owens,6,6,100.0
Heather Gardner,9,9,100.0
Tony Perry,5,5,100.0
Julia Alexander,5,5,100.0
Joseph Atkinson,5,5,100.0
Charles Haynes,5,5,100.0
Steven Blake,7,7,100.0
Tina Watson,8,8,100.0
Lindsey Salazar,6,6,100.0
Lauren Ward,7,7,100.0
Jeffrey Matthews,5,5,100.0
Linda Dunn,6,6,100.0
Wendy Robertson,5,5,100.0
Kenneth Hunter,6,6,100.0
Andrea Klein,5,5,100.0
Paul Garrett,5,5,100.0
Steven Richards,5,5,100.0
Jeffrey Brennan,5,5,100.0
Joshua Hensley,5,5,100.0
Steven Mathews,5,5,100.0
Steven Castro,6,6,100.0
Tony Green,5,5,100.0
Hannah Perkins,5,5,100.0
Catherine Dominguez,5,5,100.0
Jennifer Petersen,6,6,100.0
Carolyn Bailey,5,5,100.0
Anthony Carpenter,6,6,100.0
Virginia Brown,5,5,100.0
Crystal Daniels,5,5,100.0
Brian Gill,7,7,100.0
Gary Watson,7,7,100.0
John Mullen,5,5,100.0
Casey Parker,7,7,100.0
Nathan Reed,8,8,100.0
Samantha Kane,5,5,100.0
Angela Zimmerman,6,6,100.0
Mary Reeves,7,7,100.0
Karen Rios,5,5,100.0
Timothy Reilly,5,5,100.0
Cameron Sanchez,5,5,100.0
Kimberly Kemp,6,6,100.0
Kristen Mcdonald,6,6,100.0
Glenn Gonzalez,6,6,100.0
Jessica Moses,5,5,100.0
William Cardenas,7,7,100.0
Henry Martinez,5,5,100.0
Sandra Fuentes,5,5,100.0
Jessica Castaneda,5,5,100.0
Charles Moss,5,5,100.0
Nicholas Matthews,5,5,100.0
Shannon Ramos,5,5,100.0
Kimberly Dunn,5,5,100.0
Crystal Alvarado,5,5,100.0
Anthony Nicholson,8,8,100.0
Danielle Mason,7,7,100.0
Kelly Freeman,8,8,100.0
Eric Massey,5,5,100.0
Roger Nguyen,6,6,100.0
Tracey Gonzalez,5,5,100.0
Holly Nelson,6,6,100.0
April Edwards,6,6,100.0
Donna Burns,6,6,100.0
Kenneth Freeman,10,10,100.0
Courtney Wood,6,6,100.0
Ashley Beck,6,6,100.0
Joshua Sims,5,5,100.0
Tammy Brooks,5,5,100.0
Tammy Jimenez,5,5,100.0
Kelly Chandler,5,5,100.0
Brooke Adams,5,5,100.0
John Sexton,5,5,100.0
Crystal Moreno,5,5,100.0
Timothy Mosley,5,5,100.0
Michelle Alvarez,7,7,100.0
Terry Martinez,8,8,100.0
George Sullivan,5,5,100.0
Richard Fernandez,5,5,100.0
Christopher Lin,6,6,100.0
Cameron Wilson,6,6,100.0
Maureen Lee,5,5,100.0
Bryan Flores,5,5,100.0
Stephen Hunter,9,9,100.0
Tracy Perry,9,9,100.0
Susan Richards,8,8,100.0
Alexander Fitzgerald,5,5,100.0
Amber Bradley,5,5,100.0
Nicole Morrison,5,5,100.0
Nancy Chavez,5,5,100.0
Patrick Walton,6,6,100.0
Wendy Holmes,7,7,100.0
Erin Stokes,5,5,100.0
Eric Gallagher,6,6,100.0
Anthony Frederick,6,6,100.0
Julie Aguilar,6,6,100.0
Madison Miller,7,7,100.0
Danielle Castro,6,6,100.0
Andrew Bradley,6,6,100.0
Karen Berry,6,6,100.0
Ryan Alexander,5,5,100.0
Cheryl Scott,10,10,100.0
Brittany Simmons,5,5,100.0
Molly Ramirez,6,6,100.0
Stacy Lopez,5,5,100.0
Diana Bryant,5,5,100.0
Joseph Elliott,10,10,100.0
Scott Hines,5,5,100.0
Dana Ramirez,5,5,100.0
Cathy Anderson,6,6,100.0
Kelly Owens,5,5,100.0
Catherine Rogers,8,8,100.0
Erica Willis,5,5,100.0
Rhonda Allen,5,5,100.0
Michelle Peters,5,5,100.0
Jennifer Crosby,5,5,100.0
Nicholas Washington,8,8,100.0
Wendy Armstrong,5,5,100.0
Joshua Fox,6,6,100.0
Thomas Chapman,7,7,100.0
Kimberly Barr,5,5,100.0
Jonathan Shelton,6,6,100.0
Eric Gross,6,6,100.0
Brandon Bryant,5,5,100.0
Timothy Gill,5,5,100.0
Teresa Morgan,5,5,100.0
Laura Chase,5,5,100.0
Joseph Benton,6,6,100.0
Amy Summers,5,5,100.0
James Pace,5,5,100.0
Heather Price,10,10,100.0
Margaret Cruz,6,6,100.0
Nicholas Rios,5,5,100.0
Justin Hicks,9,9,100.0
Dustin Perez,10,10,100.0
Olivia Anderson,5,5,100.0
Lisa Burch,5,5,100.0
Holly Peterson,5,5,100.0
Karen Sherman,5,5,100.0
Denise Hunt,5,5,100.0
Jessica Poole,9,9,100.0
Jason Orozco,5,5,100.0
Daniel Rivers,5,5,100.0
Patrick Fisher,6,6,100.0
Adam Mccarthy,5,5,100.0
Traci Davis,5,5,100.0
Nicholas Wade,5,5,100.0
Amy Benson,5,5,100.0
Robert Obrien,12,12,100.0
Adam Morris,6,6,100.0
Lisa Gould,5,5,100.0
Shannon Larson,5,5,100.0
Kevin Mills,10,10,100.0
Stacy Flores,5,5,100.0
Jeffrey Casey,5,5,100.0
Jeffrey May,7,7,100.0
Monique Robinson,5,5,100.0
Angela Higgins,7,7,100.0
Laura Gross,5,5,100.0
Julie Chandler,6,6,100.0
Jeffrey Sutton,5,5,100.0
Dustin Torres,5,5,100.0
Emily Richards,5,5,100.0
Veronica Miller,13,13,100.0
Misty Martin,6,6,100.0
Anthony Herman,5,5,100.0
Grace Rodriguez,5,5,100.0
Rodney Perry,5,5,100.0
John Colon,5,5,100.0
Crystal Hayes,8,8,100.0
Christopher Sloan,10,10,100.0
Richard Weber,7,7,100.0
Robert Pearson,5,5,100.0
George Chambers,5,5,100.0
Bryan Lynch,5,5,100.0
Courtney Larson,6,6,100.0
Gary Peterson,7,7,100.0
Teresa Ortiz,6,6,100.0
Catherine Hall,8,8,100.0
Victoria Walsh,5,5,100.0
Randy Lopez,6,6,100.0
John Snow,5,5,100.0
Alicia Cooper,6,6,100.0
Danielle Lawrence,5,5,100.0
Andrew Davidson,7,7,100.0
Adam Carroll,5,5,100.0
Allison Watson,5,5,100.0
Leslie Cole,6,6,100.0
Jordan Hansen,5,5,100.0
Sharon Reyes,5,5,100.0
Joseph Watkins,9,9,100.0
Angela Ortega,5,5,100.0
Christopher Hogan,5,5,100.0
Michael Blankenship,5,5,100.0
Patricia George,6,6,100.0
Carolyn Coleman,5,5,100.0
Amy Sandoval,5,5,100.0
Barbara Ramirez,5,5,100.0
Mark Ray,8,8,100.0
Justin Terry,5,5,100.0
Katie Ellis,5,5,100.0
Stacey Lawson,5,5,100.0
Sharon Ross,7,7,100.0
Steve Rodriguez,5,5,100.0
Jason Solis,5,5,100.0
Steven Charles,6,6,100.0
Ryan Cantu,5,5,100.0
Kenneth Patel,7,7,100.0
Barbara Tucker,6,6,100.0
Angela Hughes,5,5,100.0
John Phelps,7,7,100.0
William Christensen,8,8,100.0
Andrew Hanson,7,7,100.0
Amanda Salas,5,5,100.0
Samuel Gibson,6,6,100.0
Eric Fields,6,6,100.0
Jennifer Zuniga,5,5,100.0
Victoria Walters,5,5,100.0
Natasha Harris,9,9,100.0
Gregory Mcdonald,5,5,100.0
Thomas Monroe,5,5,100.0
Austin Collins,5,5,100.0
Donna Richardson,7,7,100.0
Allison Garcia,7,7,100.0
Scott Vasquez,8,8,100.0
Gregory Kaiser,5,5,100.0
Amy Steele,5,5,100.0
Eric Mckinney,5,5,100.0
Jonathan Gilmore,5,5,100.0
